timestamp,time_of_day,occupancy,cluster
2025-04-17 00:55:37,350,24,1
2025-04-17 00:55:39,360,25,1
2025-04-17 00:55:42,370,11,1
2025-04-17 00:55:43,380,10,2
2025-04-17 00:55:45,390,25,2
2025-04-17 00:55:47,400,22,2
2025-04-17 00:55:49,410,14,2
2025-04-17 00:55:51,420,80,2
2025-04-17 00:55:53,430,84,2
2025-04-17 00:55:55,440,87,2
2025-04-17 00:55:57,450,72,2
2025-04-17 00:55:59,460,74,2
2025-04-17 00:56:02,470,77,2
2025-04-17 00:56:04,480,84,2
2025-04-17 00:56:06,490,88,2
2025-04-17 00:56:08,500,77,2
2025-04-17 00:56:10,510,87,2
2025-04-17 00:56:12,520,90,2
2025-04-17 00:56:14,530,79,2
2025-04-17 00:56:16,540,79,2
2025-04-17 00:56:18,550,85,2
2025-04-17 00:56:20,560,86,2
2025-04-17 00:56:22,570,77,0
2025-04-17 00:56:24,580,76,0
2025-04-17 00:56:26,590,72,0
2025-04-17 00:56:28,600,81,0
2025-04-17 00:56:30,610,19,0
2025-04-17 00:56:32,620,10,0
2025-04-17 00:56:34,630,6,0
2025-04-17 00:56:36,640,16,0
2025-04-17 00:56:38,650,19,0
2025-04-17 00:56:40,660,24,0
2025-04-17 00:56:42,670,25,0
2025-04-17 00:56:44,680,10,0
2025-04-17 00:56:46,690,13,0
2025-04-17 00:56:48,700,29,0
2025-04-17 00:56:50,710,10,0
2025-04-17 00:56:52,720,91,0
2025-04-17 00:56:54,730,97,1
2025-04-17 00:56:56,740,89,1
2025-04-17 00:56:58,750,93,1
2025-04-17 00:57:00,760,93,1
2025-04-17 00:57:02,770,88,1
2025-04-17 00:57:04,780,91,1
2025-04-17 00:57:06,790,86,1
2025-04-17 00:57:08,800,88,1
2025-04-17 00:57:10,810,86,1
2025-04-17 00:57:12,820,92,1
2025-04-17 00:57:14,830,99,1
2025-04-17 00:57:16,840,96,1
2025-04-17 00:57:18,850,85,1
2025-04-17 00:57:20,860,98,1
2025-04-17 00:57:22,870,88,1
2025-04-17 00:57:24,880,93,1
2025-04-17 00:57:26,890,90,1
2025-04-17 00:57:28,900,90,1
2025-04-17 00:57:30,910,21,2
2025-04-17 00:57:32,920,23,2
2025-04-17 00:57:34,930,14,2
2025-04-17 00:57:36,940,9,2
2025-04-17 00:57:38,950,22,2
2025-04-17 00:57:40,960,22,2
2025-04-17 00:57:42,970,11,2
2025-04-17 00:57:44,980,26,2
2025-04-17 00:57:46,990,24,2
2025-04-17 00:57:48,1000,11,2
2025-04-17 00:57:50,1010,18,2
2025-04-17 00:57:52,1020,18,2
2025-04-17 00:57:54,1030,15,2
2025-04-17 00:57:56,1040,25,2
2025-04-17 00:57:58,1050,25,2
2025-04-17 00:58:00,1060,8,2
2025-04-17 00:58:02,1070,26,2
2025-04-17 00:58:04,1080,49,2
2025-04-17 00:58:06,1090,49,2
2025-04-17 00:58:08,1100,60,0
2025-04-17 00:58:10,1110,55,0
2025-04-17 00:58:12,1120,60,0
2025-04-17 00:58:14,1130,43,0
2025-04-17 00:58:16,1140,42,0
2025-04-17 00:58:18,1150,40,0
2025-04-17 00:58:20,1160,41,0
2025-04-17 00:58:22,1170,51,0
2025-04-17 00:58:24,1180,49,0
2025-04-17 00:58:26,1190,56,0
2025-04-17 00:58:28,1200,49,0
2025-04-17 00:58:30,1210,49,0
2025-04-17 00:58:32,1220,46,0
2025-04-17 00:58:34,1230,43,0
2025-04-17 00:58:36,1240,52,0
2025-04-17 00:58:38,1250,58,0
2025-04-17 00:58:40,1260,44,0
2025-04-17 00:58:42,1270,46,0
2025-04-17 00:58:44,1280,46,0
2025-04-17 00:58:46,1290,53,1
2025-04-17 00:58:48,1300,60,1
2025-04-17 00:58:50,1310,59,1
2025-04-17 00:58:52,1320,49,1
2025-04-17 00:58:54,1330,30,1
2025-04-17 00:58:56,1340,13,1
